epoch,mAP@50,mAP,mAP_RTTS,mAP_Foggy,PSNR,SSIM,detection_loss,dehazing_loss,valid_detection_loss,valid_dehazing_loss,loss,valid_loss
056,0.775551,0.6018,0.532205,0.306417,22.6637,0.9137,2.611,0.111,2.759,0.062,2.111,2.220
057,0.775547,0.6027,0.526145,0.294031,22.8522,0.9142,2.590,0.109,2.745,0.062,2.094,2.209
058,0.774889,0.6003,0.530956,0.305735,22.6873,0.9126,2.589,0.111,2.757,0.063,2.093,2.218
059,0.770615,0.5983,0.535049,0.311437,22.6809,0.9131,2.584,0.110,2.754,0.063,2.089,2.215
060,0.768566,0.5929,0.532479,0.303595,23.0059,0.9168,2.564,0.110,2.743,0.060,2.073,2.207
061,0.770463,0.5974,0.527625,0.308071,22.8883,0.9148,2.542,0.111,2.738,0.061,2.056,2.202
062,0.770773,0.5994,0.530595,0.324275,22.6798,0.9115,2.535,0.109,2.755,0.063,2.050,2.217
063,0.766234,0.5924,0.531055,0.328430,22.6323,0.9106,2.527,0.110,2.756,0.064,2.043,2.218
064,0.767224,0.5938,0.528256,0.333890,22.5909,0.9103,2.509,0.110,2.749,0.064,2.029,2.212
065,0.769696,0.5999,0.530552,0.310560,22.5908,0.9109,2.498,0.109,2.754,0.064,2.020,2.216
066,0.767869,0.5970,0.529811,0.348598,22.7371,0.9126,2.489,0.109,2.761,0.063,2.013,2.221
067,0.767517,0.5974,0.531430,0.336099,22.4629,0.9105,2.465,0.109,2.754,0.064,1.994,2.216
068,0.769686,0.6013,0.530369,0.330962,22.4640,0.9110,2.457,0.109,2.749,0.064,1.988,2.212
069,0.767442,0.6009,0.526917,0.345871,22.5448,0.9109,2.454,0.108,2.749,0.064,1.984,2.212
070,0.767520,0.6002,0.520625,0.348028,inf,0.9120,2.446,0.109,2.747,0.063,1.979,2.210
071,0.765791,0.5984,0.520704,0.338813,22.6261,0.9110,2.435,0.108,2.747,0.063,1.970,2.210
072,0.762926,0.5988,0.521406,0.352664,22.4976,0.9101,2.427,0.109,2.749,0.064,1.963,2.212
073,0.763129,0.5982,0.523003,0.354154,22.5153,0.9106,2.413,0.109,2.750,0.064,1.952,2.213
074,0.760900,0.5977,0.524977,0.355368,22.8664,0.9141,2.398,0.108,2.749,0.062,1.940,2.212
075,0.760253,0.5961,0.524319,0.338244,22.8755,0.9136,2.401,0.109,2.753,0.063,1.942,2.215
076,0.761463,0.5953,0.521750,0.337116,22.9574,0.9140,2.390,0.108,2.750,0.062,1.934,2.212
077,0.759681,0.5968,0.522501,0.352773,22.7628,0.9118,2.362,0.108,2.750,0.063,1.912,2.212
078,0.757413,0.5957,0.521897,0.352026,22.5945,0.9099,2.369,0.107,2.751,0.064,1.917,2.213
079,0.754211,0.5931,0.522331,0.354244,22.5494,0.9096,2.364,0.108,2.757,0.065,1.913,2.218
080,0.752966,0.5900,0.521360,0.357322,22.4760,0.9092,2.349,0.108,2.757,0.065,1.901,2.218
081,0.752101,0.5896,0.520531,0.354224,22.5957,0.9101,2.331,0.106,2.757,0.064,1.886,2.219
082,0.750662,0.5891,0.520469,0.353501,22.5146,0.9095,2.326,0.108,2.759,0.065,1.882,2.220
083,0.750839,0.5894,0.518752,0.353726,22.4921,0.9091,2.328,0.108,2.762,0.065,1.884,2.223
084,0.749465,0.5882,0.517265,0.352783,22.3575,0.9078,2.315,0.107,2.762,0.066,1.874,2.222
085,0.749654,0.5874,0.515991,0.353168,22.4460,0.9086,2.332,0.107,2.762,0.065,1.887,2.222
086,0.748013,0.5878,0.515792,0.353943,22.4228,0.9083,2.305,0.106,2.762,0.065,1.865,2.223
087,0.747760,0.5887,0.515721,0.353401,22.3847,0.9081,2.326,0.108,2.764,0.066,1.882,2.224
088,0.747498,0.5878,0.516062,0.355940,22.4168,0.9084,2.316,0.108,2.765,0.065,1.874,2.225
089,0.747918,0.5878,0.516331,0.353631,22.3988,0.9082,2.299,0.108,2.766,0.065,1.861,2.225
090,0.747023,0.5875,0.516262,0.355609,22.3157,0.9077,2.298,0.108,2.769,0.066,1.860,2.228
091,0.745259,0.5867,0.515677,0.350735,22.2782,0.9073,2.300,0.108,2.770,0.066,1.862,2.229
092,0.745061,0.5862,0.515606,0.348550,22.3435,0.9079,2.292,0.106,2.772,0.066,1.855,2.231
093,0.744458,0.5862,0.515508,0.348771,22.3307,0.9078,2.299,0.107,2.773,0.066,1.860,2.232
094,0.744381,0.5858,0.515623,0.347515,22.4181,0.9086,2.296,0.107,2.775,0.065,1.858,2.233
095,0.744231,0.5848,0.516137,0.347143,22.4211,0.9085,2.293,0.107,2.776,0.065,1.856,2.234
096,0.743520,0.5850,0.516075,0.347350,22.3829,0.9081,2.276,0.107,2.777,0.066,1.842,2.235
097,0.743479,0.5849,0.515517,0.345683,22.3898,0.9082,2.285,0.107,2.778,0.065,1.849,2.235
098,0.742644,0.5852,0.515282,0.344389,22.3774,0.9081,2.283,0.108,2.778,0.065,1.848,2.235
099,0.741910,0.5844,0.514982,0.343854,22.3618,0.9078,2.280,0.106,2.777,0.066,1.845,2.235
100,0.741454,0.5843,0.514720,0.344435,22.3113,0.9075,2.282,0.107,2.778,0.066,1.847,2.235
